GAME_ID,TEAM1,TEAM2,DATE,PF,3PM,DUNKS,OT,CLUTCH,GEI,PERFORMANCES,norm_PF,norm_3PM,norm_DUNKS,norm_OT,norm_CLUTCH,norm_GEI,norm_PERFORMANCES,EI
0022401186,ATL,ORL,2025-04-13,23,32,16,0,0,4.9,0,0.14,0.5294117647058824,0.6521739130434783,0.0,0,0.26086956521739135,0.0,0.1759923273657289
0022401188,BKN,NYK,2025-04-13,49,28,5,0,1,7.5,0,0.66,0.4117647058823529,0.17391304347826086,0.0,1,0.44927536231884063,0.0,0.3122259164535379
0022401195,UTA,MIN,2025-04-13,31,29,11,0,0,5.1,1,0.3,0.4411764705882353,0.43478260869565216,0.0,0,0.2753623188405797,0.0,0.1469138959931799
0022401194,MEM,DAL,2025-04-13,28,20,19,0,0,3.2,0,0.24,0.17647058823529413,0.782608695652174,0.0,0,0.13768115942028988,0.0,0.12327280477408357
0022401196,OKC,NOP,2025-04-13,44,16,6,0,0,3.7,0,0.56,0.058823529411764705,0.21739130434782608,0.0,0,0.17391304347826092,0.0,0.057549872122762157
0022401200,SAC,PHX,2025-04-13,16,29,7,0,0,5.0,0,0.0,0.4411764705882353,0.2608695652173913,0.0,0,0.26811594202898553,0.0,0.14198635976129584
0022401192,MIL,DET,2025-04-13,36,45,5,1,1,9.1,1,0.4,0.9117647058823529,0.17391304347826086,0.9,1,0.5652173913043479,0.0,0.4808056265984655
0022401187,BOS,CHA,2025-04-13,30,25,4,0,1,6.013658536585366,1,0.28,0.3235294117647059,0.13043478260869565,0.0,1,0.34156945917285264,0.0,0.28476925955960325
0022401199,POR,LAL,2025-04-13,37,24,12,0,0,3.5,0,0.42,0.29411764705882354,0.4782608695652174,0.0,0,0.15942028985507248,0.0,0.09732907075873827
0022401193,DEN,HOU,2025-04-13,37,22,13,0,0,3.2,0,0.42,0.23529411764705882,0.5217391304347826,0.0,0,0.13768115942028988,0.0,0.09112702472293266
0022401190,WAS,MIA,2025-04-13,26,26,15,0,1,9.1,1,0.2,0.35294117647058826,0.6086956521739131,0.0,1,0.5652173913043479,0.0,0.41634271099744247
0022401198,GSW,LAC,2025-04-13,41,29,12,1,1,10.2,4,0.5,0.4411764705882353,0.4782608695652174,0.9,1,0.644927536231884,0.0,0.5106095481670928
0022401191,PHI,CHI,2025-04-13,32,25,13,0,0,5.4,0,0.32,0.3235294117647059,0.5217391304347826,0.0,0,0.29710144927536236,0.0,0.15633589087809036
0022401189,CLE,IND,2025-04-13,43,28,10,1,1,6.013658536585366,0,0.54,0.4117647058823529,0.391304347826087,0.9,1,0.34156945917285264,0.0,0.39226798078722475
0022401197,TOR,SAS,2025-04-13,36,25,12,0,1,6.8,1,0.4,0.3235294117647059,0.4782608695652174,0.0,1,0.3985507246376812,0.0,0.3334953111679454
0022401184,LAC,SAC,2025-04-11,37,17,8,0,1,7.3,1,0.42,0.08823529411764706,0.30434782608695654,0.0,1,0.4347826086956522,0.0,0.31602046035805625
0022401172,IND,ORL,2025-04-11,47,25,11,0,0,2.5,0,0.62,0.3235294117647059,0.43478260869565216,0.0,0,0.08695652173913043,0.0,0.059089514066496165
0022401185,LAL,HOU,2025-04-11,32,37,16,0,0,3.3,1,0.32,0.6764705882352942,0.6521739130434783,0.0,0,0.14492753623188406,0.0,0.13376555839727194
0022401171,DET,MIL,2025-04-11,36,35,12,0,1,8.0,2,0.4,0.6176470588235294,0.4782608695652174,0.0,1,0.48550724637681164,0.0,0.3786359761295823
0022401176,CHI,WAS,2025-04-11,29,23,8,0,0,3.1,0,0.26,0.2647058823529412,0.30434782608695654,0.0,0,0.13043478260869568,0.0,0.0763222506393862
0022401173,ATL,PHI,2025-04-11,32,28,9,0,0,7.0,1,0.32,0.4117647058823529,0.34782608695652173,0.0,0,0.4130434782608696,0.0,0.18393606138107416
0022401180,MEM,DEN,2025-04-11,41,19,17,0,1,8.0,1,0.5,0.14705882352941177,0.6956521739130435,0.0,1,0.48550724637681164,0.0,0.37184569479965895
0022401183,POR,GSW,2025-04-11,39,20,7,0,0,3.4,0,0.46,0.17647058823529413,0.2608695652173913,0.0,0,0.15217391304347824,0.0,0.06517135549872122
0022401182,PHX,SAS,2025-04-11,16,32,10,0,0,3.6,0,0.0,0.5294117647058824,0.391304347826087,0.0,0,0.16666666666666666,0.0,0.12393435635123615
0022401174,BOS,CHA,2025-04-11,25,38,7,0,0,4.6,0,0.18,0.7058823529411765,0.2608695652173913,0.0,0,0.2391304347826087,0.0,0.136076726342711
0022401181,OKC,UTA,2025-04-11,31,41,9,0,0,3.7,1,0.3,0.7941176470588235,0.34782608695652173,0.0,0,0.17391304347826092,0.0,0.12035805626598466
0022401175,NYK,CLE,2025-04-11,35,27,7,0,1,7.5,0,0.38,0.38235294117647056,0.2608695652173913,0.0,1,0.44927536231884063,0.0,0.3334509803921568
0022401177,NOP,MIA,2025-04-11,29,34,12,0,0,6.013658536585366,0,0.26,0.5882352941176471,0.4782608695652174,0.0,0,0.34156945917285264,0.0,0.1837871623729025
0022401178,TOR,DAL,2025-04-11,27,26,12,0,0,2.1,1,0.22,0.35294117647058826,0.4782608695652174,0.0,0,0.05797101449275363,0.0,0.07476300085251493
0022401179,BKN,MIN,2025-04-11,39,23,11,0,0,3.2,1,0.46,0.2647058823529412,0.43478260869565216,0.0,0,0.13768115942028988,0.0,0.08190196078431373
0022401169,ATL,BKN,2025-04-10,45,37,11,0,0,1.9,1,0.58,0.6764705882352942,0.43478260869565216,0.0,0,0.04347826086956521,0.0,0.06351918158567775
0022401167,DET,NYK,2025-04-10,42,19,15,0,1,7.1,1,0.52,0.14705882352941177,0.6086956521739131,0.0,1,0.4202898550724638,0.0,0.33932395566922413
